about,all,and,are,as,at,be,but,can,do,for,from,get,had,have,he,her,his,if,in,is,it,just,know,like,me,my,no,not,of,on,one,or,out,really,she,so,that,the,there,they,this,to,up,was,we,what,when,with,you
0.0,0.0,0.66225988547368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43627088852585305,0.0,0.0,0.0,0.0,0.0,0.0,0.3639004038719293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35762988937239754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328016138881908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.6813233988919706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5928516821445974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293312347134951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04431548141576746,0.035757764996449753,0.239049171465728,0.12041965040441235,0.08798659857646542,0.0842001983497537,0.16072892628388202,0.03598118729695851,0.13196269731599514,0.029639516596823935,0.1164989528620844,0.11683172373247785,0.05462830253137542,0.0045696879146297975,0.1083707434886754,0.0,0.0,0.005561636592371307,0.10843514725968047,0.1769437312387457,0.19600298846462974,0.18926189339594002,0.007391275368725592,0.008610447271006063,0.05653431213802192,0.0,0.006010873014386305,0.05948707327172943,0.043693493596808915,0.32758322630479086,0.05695910187970225,0.05395310846735965,0.13131510358045534,0.05100005485739214,0.009189509001134955,0.0,0.04848912967952008,0.1334278849001355,0.5589945351448862,0.05269393066396929,0.05462830253137542,0.07419097226940559,0.33584169738201686,0.04145849556788274,0.03450456295022337,0.03471007144523361,0.023967274516588026,0.05087520875272272,0.07011743847572188,0.30736296121649886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.219644420385604,0.0,0.0,0.0,0.0,0.0,0.3316562210844852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13084845667554532,0.0,0.0,0.0,0.16102997994296842,0.0,0.0,0.0,0.0,0.11861115475472926,0.13519994445829167,0.0,0.0,0.0,0.0,0.0,0.13811441732380672,0.0,0.6484140614225389,0.0,0.0,0.0,0.5518831744850592,0.0,0.0,0.0,0.0,0.0,0.0,0.1492295210002957
0.2197699032050531,0.043347422872670925,0.20253988898003467,0.09731930968984448,0.09696539265351095,0.021264970956843935,0.04329865903835949,0.0594794550108166,0.11762650476350789,0.05132937698154064,0.11149428238146722,0.04883775626778958,0.025470488511955578,0.02769806704239745,0.12316186198025189,0.0,0.03565217317685179,0.0,0.22751087258159475,0.2075810281397532,0.20419181305663203,0.13697499266315452,0.0,0.02609508025852516,0.045689222752143877,0.0,0.036433464789312045,0.05547178829169071,0.02206980246007712,0.33653680341990716,0.03836043686163362,0.0934353782323094,0.24872968697479658,0.11889407607057172,0.0,0.0,0.039187363623996496,0.16174822308794978,0.5059320001824194,0.09827434450159339,0.10188195404782231,0.058655319163893424,0.2035623881433761,0.045689222752143877,0.0418282261597873,0.026298346405084085,0.04842396160568579,0.025697322755848018,0.04047619356119971,0.3387285189301034
0.07318758517583579,0.06495984758699817,0.32687143202721247,0.07292068485010077,0.07265549726552163,0.1274695638867547,0.06488677078024237,0.1782701750648406,0.0,0.07692149347034528,0.05569459582096704,0.0,0.0,0.08301587934368154,0.06152288688740908,0.0,0.0,0.0,0.0757654761760451,0.25923171160447894,0.1669085580763365,0.46185486075428644,0.06713732268692114,0.0,0.20540770936250122,0.0,0.0,0.0,0.0,0.15129881784521676,0.0574864194169531,0.0,0.07454857283537042,0.0,0.08347125500885517,0.0,0.11745128082140292,0.2154610195781754,0.2757027958860232,0.0,0.22901832801868813,0.05860003264393182,0.37545326237786825,0.20540770936250122,0.06268320043283004,0.07882067541973259,0.0,0.0,0.0,0.1269034668318296
0.0,0.0,0.2879298933412122,0.0,0.11199956060706577,0.032749380486005106,0.033341316624856884,0.12213608989184704,0.0,0.0,0.028618023847254193,0.15042637634845837,0.03922613960467197,0.12797024808628935,0.03161282379632546,0.3228739369785457,0.0,0.10383262165642514,0.0778624271185879,0.2930470762858283,0.08576403194834196,0.10547501242529742,0.06899547338026625,0.0,0.035182125173282515,0.0,0.028054903136950634,0.0,0.06797774231461337,0.20731505996617064,0.08861619502847423,0.035974076320086416,0.2298355311211256,0.036620857302549326,0.08578147776069728,0.0,0.030175491049816337,0.08303411451619629,0.5430556550885389,0.11351146117106284,0.1569045584186879,0.03011094895175768,0.21703760553624463,0.0,0.3220903749037742,0.04050109235139474,0.0,0.0,0.03116793026078168,0.0
0.08921175839220413,0.03959129280056551,0.14229957927029782,0.13332963171988463,0.044281585820495295,0.03884464799768866,0.11864026331357655,0.07243394148616443,0.0,0.0,0.13577747685469613,0.08921175839220413,0.04652685219199231,0.05059596209474411,0.07499311402888849,0.0,0.0,0.06157889980002215,0.0,0.189593768678341,0.16954385001366754,0.1251058697725094,0.04091840573954732,0.0,0.0417301716211331,0.03867213747705464,0.0,0.0,0.04031483088691014,0.4303254204085535,0.10510931357149193,0.08533903914871911,0.18174145935528194,0.17374671400565958,0.05087350140500798,0.0,0.0,0.1641471737946182,0.588117226742846,0.04487935026005031,0.0,0.10714546616299163,0.3432431093027592,0.0417301716211331,0.03820373714222549,0.14411729192105888,0.044227940565822126,0.0,0.03696886053505495,0.03867213747705464
0.08712381617975354,0.0,0.16676298205845133,0.08680609323723824,0.08649040917256366,0.0,0.15448475520468846,0.1414773459675935,0.1678712662013389,0.0,0.1325996947939658,0.0,0.0,0.0,0.07323794978545262,0.0,0.0,0.0,0.0,0.06171881729812404,0.13246063065416974,0.12217784961876478,0.07992147502234237,0.0,0.08150700909818355,0.07553408334396182,0.0,0.09895855697766694,0.0,0.24014510771630823,0.1368657327901143,0.16668347073852804,0.0,0.0,0.0,0.0,0.0699080573281373,0.3206108354738605,0.7111033824179546,0.0,0.0,0.06975853158608016,0.22347315420305922,0.08150700909818355,0.07461920787450227,0.0,0.0,0.0,0.07220725760097857,0.0
0.10566955227344972,0.04689509835430392,0.13484081561613198,0.1579262951715939,0.1573519712627582,0.09202142489087423,0.0,0.12869484310455723,0.0,0.0,0.16082571901540055,0.0,0.0,0.0599299101121994,0.044413925506241896,0.0,0.07714009539087155,0.0,0.1640873365217432,0.1497133637324577,0.36147836877305767,0.2963708256376395,0.0,0.0,0.09885711549621672,0.04580637716714661,0.03941528241947783,0.0600117560730012,0.09550422963464211,0.29126394051295834,0.1244998899813163,0.0,0.053817285371639455,0.05144988118395151,0.0,0.0,0.12718370433171414,0.07777162416448992,0.43123671192965374,0.1594760915075943,0.0,0.12691167220130448,0.37268424559073915,0.04942855774810836,0.0452515662929059,0.0569013546592872,0.0,0.0,0.08757775905782918,0.22903188583573308
